CPT_id	classType	ui	suppressible	obsolete	rootSource	atomCount	cVMemberCount	attributes	atoms	ancestors	parents	children	descendants	relations	definitions	concepts	defaultPreferredAtom	name
0008U	SourceAtomCluster	0008U	False	False	CPT	7	0					NONE	NONE		NONE	C4521495;C5414378;C5414379;C5414380		Helicobacter pylori detection and antibiotic resistance, DNA, 16S and 23S rRNA, gyrA, pbp1, rdxA and rpoB, next generation sequencing, formalin-fixed paraffin-embedded or fresh tissue or fecal sample, predictive, reported as positive or negative for resistance to clarithromycin, fluoroquinolones, metronidazole, amoxicillin, tetracycline, and rifabutin
0009U	SourceAtomCluster	0009U	False	False	CPT	5	0					NONE	NONE		NONE	C4521499;C4521655;C5414381		Oncology (breast cancer), ERBB2 (HER2) copy number by FISH, tumor cells from formalin-fixed paraffin-embedded tissue isolated using image-based dielectrophoresis (DEP) sorting, reported as ERBB2 gene amplified or non-amplified
0010U	SourceAtomCluster	0010U	False	False	CPT	5	0					NONE	NONE		NONE	C0201216;C4521498;C5414382		Infectious disease (bacterial), strain typing by whole genome sequencing, phylogenetic-based report of strain relatedness, per submitted isolate
0011M	SourceAtomCluster	0011M	False	False	CPT	4	0					NONE	NONE		NONE	C5697510;C4732724		Oncology, prostate cancer, mRNA expression assay of 12 genes (10 content and 2 housekeeping), RT-PCR test utilizing blood plasma and urine, algorithms to predict high-grade prostate cancer risk
0011U	SourceAtomCluster	0011U	False	False	CPT	5	0					NONE	NONE		NONE	C4521672;C5414383		Prescription drug monitoring, evaluation of drugs present by LC-MS/MS, using oral fluid, reported as a comparison to an estimated steady-state range, per date of service including all drug compounds and metabolites
0012M	SourceAtomCluster	0012M	False	False	CPT	4	0					NONE	NONE		NONE	C5697511;C4732725		Oncology (urothelial), mRNA, gene expression profiling by real-time quantitative PCR of five genes (MDK, HOXA13, CDC2 [CDK1], IGFBP5, and CXCR2), utilizing urine, algorithm reported as a risk score for having urothelial carcinoma
0013M	SourceAtomCluster	0013M	False	False	CPT	4	0					NONE	NONE		NONE	C4732726;C5697512		Oncology (urothelial), mRNA, gene expression profiling by real-time quantitative PCR of five genes (MDK, HOXA13, CDC2 [CDK1], IGFBP5, and CXCR2), utilizing urine, algorithm reported as a risk score for having recurrent urothelial carcinoma
0015M	SourceAtomCluster	0015M	False	False	CPT	4	0					NONE	NONE		NONE	C5697514;C5416726		Adrenal cortical tumor, biochemical assay of 25 steroid markers, utilizing 24-hour urine specimen and clinical parameters, prognostic algorithm reported as a clinical risk and integrated clinical steroid risk for adrenal cortical carcinoma, adenoma, or other adrenal malignancy
0016M	SourceAtomCluster	0016M	False	False	CPT	4	0					NONE	NONE		NONE	C5416727;C5697515		Oncology (bladder), mRNA, microarray gene expression profiling of 219 genes, utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as molecular subtype (luminal, luminal infiltrated, basal, basal claudin-low, neuroendocrine-like)
0016U	SourceAtomCluster	0016U	False	False	CPT	6	0					NONE	NONE		NONE	C5414389;C4521658;C5414388;C5414387		Oncology (hematolymphoid neoplasia), RNA, BCR/ABL1 major and minor breakpoint fusion transcripts, quantitative PCR amplification, blood or bone marrow, report of fusion not detected or detected with quantitation
0017M	SourceAtomCluster	0017M	False	False	CPT	4	0					NONE	NONE		NONE	C5697516;C5691641		Oncology (diffuse large B-cell lymphoma [DLBCL]), mRNA, gene expression profiling by fluorescent probe hybridization of 20 genes, formalin-fixed paraffin-embedded tissue, algorithm reported as cell of origin
0017U	SourceAtomCluster	0017U	False	False	CPT	6	0					NONE	NONE		NONE	C4521657;C5414390;C5414391;C5414392		Oncology (hematolymphoid neoplasia), JAK2 mutation, DNA, PCR amplification of exons 12-14 and sequence analysis, blood or bone marrow, report of JAK2 mutation not detected or detected
0018M	SourceAtomCluster	0018M	False	False	CPT	4	0					NONE	NONE		NONE	C5691642;C5697517		Transplantation medicine (allograft rejection, renal), measurement of donor and third-party-induced CD154+T-cytotoxic memory cells, utilizing whole peripheral blood, algorithm reported as a rejection risk score
0018U	SourceAtomCluster	0018U	False	False	CPT	5	0					NONE	NONE		NONE	C4542814;C5414393;C4732273		Oncology (thyroid), microRNA profiling by RT-PCR of 10 microRNA sequences, utilizing fine needle aspirate, algorithm reported as a positive or negative result for moderate to high risk of malignancy
0019M	SourceAtomCluster	0019M	False	False	CPT	4	0					NONE	NONE		NONE	C5852380;C5852381		Cardiovascular disease, plasma, analysis of protein biomarkers by aptamer-based microarray and algorithm reported as 4-year likelihood of coronary event in high-risk populations
0019U	SourceAtomCluster	0019U	False	False	CPT	6	0					NONE	NONE		NONE	C4732275;C4732276;C4732277;C4542815		Oncology, RNA, gene expression by whole transcriptome sequencing, formalin-fixed paraffin-embedded tissue or fresh frozen tissue, predictive algorithm reported as potential targets for therapeutic agents
0020M	SourceAtomCluster	0020M	False	False	CPT	4	0					NONE	NONE		NONE	C5945047;C5945048		Oncology (central nervous system), analysis of 30000 DNA methylation loci by methylation array, utilizing DNA extracted from tumor tissue, diagnostic algorithm reported as probability of matching a reference tumor subclass
0021U	SourceAtomCluster	0021U	False	False	CPT	5	0					NONE	NONE		NONE	C4542816;C4732279;C4732280		Oncology (prostate), detection of 8 autoantibodies (ARF 6, NKX3-1, 5'-UTR-BMI1, CEP 164, 3'-UTR-Ropporin, Desmocollin, AURKAIP-1, CSNK2A2), multiplexed immunoassay and flow cytometry serum, algorithm reported as risk score
0022U	SourceAtomCluster	0022U	False	False	CPT	5	0					NONE	NONE		NONE	C4542817;C5851832;C5851833		Targeted genomic sequence analysis panel, non-small cell lung neoplasia, DNA and RNA analysis, 23 genes, interrogation for sequence variants and rearrangements, reported as presence or absence of variants and associated therapy(ies) to consider
0023U	SourceAtomCluster	0023U	False	False	CPT	5	0					NONE	NONE		NONE	C5414395;C4732283;C4542818		Oncology (acute myelogenous leukemia), DNA, genotyping of internal tandem duplication, p.D835, p.I836, using mononuclear cells, reported as detection or non-detection of FLT3 mutation and indication for or against the use of midostaurin
0024U	SourceAtomCluster	0024U	False	False	CPT	5	0					NONE	NONE		NONE	C5414396;C4732285;C4732286		Glycosylated acute phase proteins (GlycA), nuclear magnetic resonance spectroscopy, quantitative
0025U	SourceAtomCluster	0025U	False	False	CPT	5	0					NONE	NONE		NONE	C4732289;C5414397;C4732288		Tenofovir, by liquid chromatography with tandem mass spectrometry (LC-MS/MS), urine, quantitative
0026U	SourceAtomCluster	0026U	False	False	CPT	5	0					NONE	NONE		NONE	C5414398;C4732291;C4732292		Oncology (thyroid), DNA and mRNA of 112 genes, next-generation sequencing, fine needle aspirate of thyroid nodule, algorithmic analysis reported as a categorical result ("Positive, high probability of malignancy" or "Negative, low probability of malignancy")
0027U	SourceAtomCluster	0027U	False	False	CPT	5	0					NONE	NONE		NONE	C4732294;C5414399;C4732295		JAK2 (Janus kinase 2) (eg, myeloproliferative disorder) gene analysis, targeted sequence analysis exons 12-15
0029U	SourceAtomCluster	0029U	False	False	CPT	5	0					NONE	NONE		NONE	C5414400;C4732298;C4732299		Drug metabolism (adverse drug reactions and drug response), targeted sequence analysis (ie, CYP1A2, CYP2C19, CYP2C9, CYP2D6, CYP3A4, CYP3A5, CYP4F2, SLCO1B1, VKORC1 and rs12777823)
0030U	SourceAtomCluster	0030U	False	False	CPT	5	0					NONE	NONE		NONE	C4732302;C5414401;C4732301		Drug metabolism (warfarin drug response), targeted sequence analysis (ie, CYP2C9, CYP4F2, VKORC1, rs12777823)
0031U	SourceAtomCluster	0031U	False	False	CPT	5	0					NONE	NONE		NONE	C4722651;C4732305;C4732304		CYP1A2 (cytochrome P450 family 1, subfamily A, member 2) (eg, drug metabolism) gene analysis, common variants (ie, *1F, *1K, *6, *7)
0032U	SourceAtomCluster	0032U	False	False	CPT	5	0					NONE	NONE		NONE	C4724362;C4732307;C4732306		COMT (catechol-O-methyltransferase) (eg, drug metabolism) gene analysis, c.472G>A (rs4680) variant
0034U	SourceAtomCluster	0034U	False	False	CPT	5	0					NONE	NONE		NONE	C3708795;C4732311;C4732312		TPMT (thiopurine S-methyltransferase), NUDT15 (nudix hydroxylase 15) (eg, thiopurine metabolism) gene analysis, common variants (ie, TPMT *2, *3A, *3B, *3C, *4, *5, *6, *8, *12; NUDT15 *3, *4, *5)
0035U	SourceAtomCluster	0035U	False	False	CPT	5	0					NONE	NONE		NONE	C4732313;C4732315;C4732314		Neurology (prion disease), cerebrospinal fluid, detection of prion protein by quaking-induced conformational conversion, qualitative
0036U	SourceAtomCluster	0036U	False	False	CPT	5	0					NONE	NONE		NONE	C4732316;C4732317;C4732318		Exome (ie, somatic mutations), paired formalin-fixed paraffin-embedded tumor tissue and normal specimen, sequence analyses
0037U	SourceAtomCluster	0037U	False	False	CPT	5	0					NONE	NONE		NONE	C4732321;C4732319;C4732320		Targeted genomic sequence analysis, solid organ neoplasm, DNA analysis of 324 genes, interrogation for sequence variants, gene copy number amplifications, gene rearrangements, microsatellite instability and tumor mutational burden
0038U	SourceAtomCluster	0038U	False	False	CPT	5	0					NONE	NONE		NONE	C5414402;C4732322;C0428586		Vitamin D, 25 hydroxy D2 and D3, by LC-MS/MS, serum microsample, quantitative
0039U	SourceAtomCluster	0039U	False	False	CPT	5	0					NONE	NONE		NONE	C0236300;C4732324;C4732325		Deoxyribonucleic acid (DNA) antibody, double stranded, high avidity
0040U	SourceAtomCluster	0040U	False	False	CPT	5	0					NONE	NONE		NONE	C4732326;C4732327;C5414403		BCR/ABL1 (t(9;22)) (eg, chronic myelogenous leukemia) translocation analysis, major breakpoint, quantitative
0041U	SourceAtomCluster	0041U	False	False	CPT	5	0					NONE	NONE		NONE	C4732330;C4732331;C4732329		Borrelia burgdorferi, antibody detection of 5 recombinant protein groups, by immunoblot, IgM
0042U	SourceAtomCluster	0042U	False	False	CPT	5	0					NONE	NONE		NONE	C4732334;C4732332;C4732333		Borrelia burgdorferi, antibody detection of 12 recombinant protein groups, by immunoblot, IgG
0043U	SourceAtomCluster	0043U	False	False	CPT	5	0					NONE	NONE		NONE	C5414405;C5414404;C4732335		Tick-borne relapsing fever Borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, IgM
0044U	SourceAtomCluster	0044U	False	False	CPT	5	0					NONE	NONE		NONE	C4732338;C5414406;C4732336		Tick-borne relapsing fever Borrelia group, antibody detection to 4 recombinant protein groups, by immunoblot, IgG
0045U	SourceAtomCluster	0045U	False	False	CPT	5	0					NONE	NONE		NONE	C5414407;C4732341;C4732340		Oncology (breast ductal carcinoma in situ), mRNA, gene expression profiling by real-time RT-PCR of 12 genes (7 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as recurrence score
0046U	SourceAtomCluster	0046U	False	False	CPT	5	0					NONE	NONE		NONE	C5414408;C4732343;C3516223		FLT3 (fms-related tyrosine kinase 3) (eg, acute myeloid leukemia) internal tandem duplication (ITD) variants, quantitative
0047U	SourceAtomCluster	0047U	False	False	CPT	5	0					NONE	NONE		NONE	C5414409;C4732346;C4732345		Oncology (prostate), mRNA, gene expression profiling by real-time RT-PCR of 17 genes (12 content and 5 housekeeping), utilizing formalin-fixed paraffin-embedded tissue, algorithm reported as a risk score
0048U	SourceAtomCluster	0048U	False	False	CPT	5	0					NONE	NONE		NONE	C4732349;C5414410;C4732348		Oncology (solid organ neoplasia), DNA, targeted sequencing of protein-coding exons of 468 cancer-associated genes, including interrogation for somatic mutations and microsatellite instability, matched with normal specimens, utilizing formalin-fixed paraffin-embedded tumor tissue, report of clinically significant mutation(s)
0049U	SourceAtomCluster	0049U	False	False	CPT	5	0					NONE	NONE		NONE	C4732351;C4732352;C4732353		NPM1 (nucleophosmin) (eg, acute myeloid leukemia) gene analysis, quantitative
0050U	SourceAtomCluster	0050U	False	False	CPT	5	0					NONE	NONE		NONE	C4732355;C4732354;C4732356		Targeted genomic sequence analysis panel, acute myelogenous leukemia, DNA analysis, 194 genes, interrogation for sequence variants, copy number variants or rearrangements
0051U	SourceAtomCluster	0051U	False	False	CPT	6	0					NONE	NONE		NONE	C5696560;C5698178;C5698179;C4732357		Prescription drug monitoring, evaluation of drugs present by liquid chromatography tandem mass spectrometry (LC-MS/MS), urine or blood, 31 drug panel, reported as quantitative results, detected or not detected, per date of service
0052U	SourceAtomCluster	0052U	False	False	CPT	5	0					NONE	NONE		NONE	C5414412;C4732360;C4732361		Lipoprotein, blood, high resolution fractionation and quantitation of lipoproteins, including all five major lipoprotein classes and subclasses of HDL, LDL, and VLDL by vertical auto profile ultracentrifugation
0054U	SourceAtomCluster	0054U	False	False	CPT	5	0					NONE	NONE		NONE	C4732367;C4732369;C4732366		Prescription drug monitoring, 14 or more classes of drugs and substances, definitive tandem mass spectrometry with chromatography, capillary blood, quantitative report with therapeutic and toxic ranges, including steady-state range for the prescribed dose when detected, per date of service
0055U	SourceAtomCluster	0055U	False	False	CPT	5	0					NONE	NONE		NONE	C5414414;C4732371;C4732370		Cardiology (heart transplant), cell-free DNA, PCR assay of 96 DNA target sequences (94 single nucleotide polymorphism targets and two control targets), plasma
0058U	SourceAtomCluster	0058U	False	False	CPT	5	0					NONE	NONE		NONE	C4722652;C5414415;C4732380		Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus oncoprotein (small T antigen), serum, quantitative
0059U	SourceAtomCluster	0059U	False	False	CPT	5	0					NONE	NONE		NONE	C5414416;C4732381;C4732382		Oncology (Merkel cell carcinoma), detection of antibodies to the Merkel cell polyoma virus capsid protein (VP1), serum, reported as positive or negative
0060U	SourceAtomCluster	0060U	False	False	CPT	5	0					NONE	NONE		NONE	C4732384;C5414417;C4732385		Twin zygosity, genomic-targeted sequence analysis of chromosome 2, using circulating cell-free fetal DNA in maternal blood
0061U	SourceAtomCluster	0061U	False	False	CPT	5	0					NONE	NONE		NONE	C4732387;C4732388;C5414418		Transcutaneous measurement of five biomarkers (tissue oxygenation [StO2], oxyhemoglobin [ctHbO2], deoxyhemoglobin [ctHbR], papillary and reticular dermal hemoglobin concentrations [ctHb1 and ctHb2]), using spatial frequency domain imaging (SFDI) and multi-spectral analysis
0062U	SourceAtomCluster	0062U	False	False	CPT	5	0					NONE	NONE		NONE	C5202015;C4746523;C5202014		Autoimmune (systemic lupus erythematosus), IgG and IgM analysis of 80 biomarkers, utilizing serum, algorithm reported with a risk score
0063U	SourceAtomCluster	0063U	False	False	CPT	5	0					NONE	NONE		NONE	C5414419;C4746524;C5202016		Neurology (autism), 32 amines by LC-MS/MS, using plasma, algorithm reported as metabolic signature associated with autism spectrum disorder
0064U	SourceAtomCluster	0064U	False	False	CPT	5	0					NONE	NONE		NONE	C4746525;C5202018;C5414420		Antibody, Treponema pallidum, total and rapid plasma reagin (RPR), immunoassay, qualitative
0065U	SourceAtomCluster	0065U	False	False	CPT	5	0					NONE	NONE		NONE	C4722653;C5202020;C5414421		Syphilis test, non-treponemal antibody, immunoassay, qualitative (RPR)
0066U																		
0067U	SourceAtomCluster	0067U	False	False	CPT	5	0					NONE	NONE		NONE	C5202024;C4746527;C5202025		Oncology (breast), immunohistochemistry, protein expression profiling of 4 biomarkers (matrix metalloproteinase-1 [MMP-1], carcinoembryonic antigen-related cell adhesion molecule 6 [CEACAM6], hyaluronoglucosaminidase [HYAL1], highly expressed in cancer protein [HEC1]), formalin-fixed paraffin-embedded precancerous breast tissue, algorithm reported as carcinoma risk score
0068U	SourceAtomCluster	0068U	False	False	CPT	5	0					NONE	NONE		NONE	C5202026;C4746528;C5202027		Candida species panel (C. albicans, C. glabrata, C. parapsilosis, C. kruseii, C. tropicalis, and C. auris), amplified probe technique with qualitative report of the presence or absence of each species
0069U	SourceAtomCluster	0069U	False	False	CPT	5	0					NONE	NONE		NONE	C5414423;C4746529;C5202028		Oncology (colorectal), microRNA, RT-PCR expression profiling of miR-31-3p, formalin-fixed paraffin-embedded tissue, algorithm reported as an expression score
0070U	SourceAtomCluster	0070U	False	False	CPT	5	0					NONE	NONE		NONE	C4746530;C5202030;C5202031		CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, common and select rare variants (ie, *2, *3, *4, *4N, *5, *6, *7, *8, *9, *10, *11, *12, *13, *14A, *14B, *15, *17, *29, *35, *36, *41, *57, *61, *63, *68, *83, *xN)
0071U	SourceAtomCluster	0071U	False	False	CPT	5	0					NONE	NONE		NONE	C5201275;C5202033;C5202032		CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, full gene sequence (List separately in addition to code for primary procedure)
0072U	SourceAtomCluster	0072U	False	False	CPT	5	0					NONE	NONE		NONE	C4746531;C5202034;C5414424		CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D6-2D7 hybrid gene) (List separately in addition to code for primary procedure)
0073U	SourceAtomCluster	0073U	False	False	CPT	5	0					NONE	NONE		NONE	C4746532;C5202036;C5414425		CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, CYP2D7-2D6 hybrid gene) (List separately in addition to code for primary procedure)
0074U	SourceAtomCluster	0074U	False	False	CPT	5	0					NONE	NONE		NONE	C4746533;C5202038;C5414426		CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, non-duplicated gene when duplication/multiplication is trans) (List separately in addition to code for primary procedure)
0075U	SourceAtomCluster	0075U	False	False	CPT	5	0					NONE	NONE		NONE	C4746534;C5202040;C5414427		CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 5' gene duplication/multiplication) (List separately in addition to code for primary procedure)
0076U	SourceAtomCluster	0076U	False	False	CPT	5	0					NONE	NONE		NONE	C4746535;C5202042;C5202041		CYP2D6 (cytochrome P450, family 2, subfamily D, polypeptide 6) (eg, drug metabolism) gene analysis, targeted sequence analysis (ie, 3' gene duplication/multiplication) (List separately in addition to code for primary procedure)
0077U	SourceAtomCluster	0077U	False	False	CPT	6	0					NONE	NONE		NONE	C5202045;C4746536;C5202044;C5202043		Immunoglobulin paraprotein (M-protein), qualitative, immunoprecipitation and mass spectrometry, blood or urine, including isotype
0078U																		
0080U	SourceAtomCluster	0080U	False	False	CPT	5	0					NONE	NONE		NONE	C4746539;C5202050;C5414430		Oncology (lung), mass spectrometric analysis of galectin-3-binding protein and scavenger receptor cysteine-rich type 1 protein M130, with five clinical risk factors (age, smoking status, nodule diameter, nodule-spiculation status and nodule location), utilizing plasma, algorithm reported as a categorical probability of malignancy
0082U	SourceAtomCluster	0082U	False	False	CPT	6	0					NONE	NONE		NONE	C5414432;C5414431;C4746541;C5202053		Drug test(s), definitive, 90 or more drugs or substances, definitive chromatography with mass spectrometry, and presumptive, any number of drug classes, by instrument chemistry analyzer (utilizing immunoassay), urine, report of presence or absence of each drug, drug metabolite or substance with description and severity of significant interactions per date of service
0083U	SourceAtomCluster	0083U	False	False	CPT	6	0					NONE	NONE		NONE	C4746542;C5202056;C5202057;C5202055		Oncology, response to chemotherapy drugs using motility contrast tomography, fresh or frozen tissue, reported as likelihood of sensitivity or resistance to drugs or drug combinations
0084U	SourceAtomCluster	0084U	False	False	CPT	5	0					NONE	NONE		NONE	C5202059;C5202058;C5202060		Red blood cell antigen typing, DNA, genotyping of 10 blood groups with phenotype prediction of 37 red blood cell antigens
0086U	SourceAtomCluster	0086U	False	False	CPT	5	0					NONE	NONE		NONE	C5202065;C5202067;C5202066		Infectious disease (bacterial and fungal), organism identification, blood culture, using rRNA FISH, 6 or more organism targets, reported as positive or negative with phenotypic minimum inhibitory concentration (MIC)-based antimicrobial susceptibility
0087U	SourceAtomCluster	0087U	False	False	CPT	5	0					NONE	NONE		NONE	C5202070;C5202071;C5202072		Cardiology (heart transplant), mRNA gene expression profiling by microarray of 1283 genes, transplant biopsy tissue, allograft rejection and injury algorithm reported as a probability score
0088U	SourceAtomCluster	0088U	False	False	CPT	5	0					NONE	NONE		NONE	C5202073;C5202075;C5202074		Transplantation medicine (kidney allograft rejection), microarray gene expression profiling of 1494 genes, utilizing transplant biopsy tissue, algorithm reported as a probability score for rejection
0089U	SourceAtomCluster	0089U	False	False	CPT	5	0					NONE	NONE		NONE	C5414433;C5202077;C5202076		Oncology (melanoma), gene expression profiling by RTqPCR, PRAME and LINC00518, superficial collection using adhesive patch(es)
0090U	SourceAtomCluster	0090U	False	False	CPT	5	0					NONE	NONE		NONE	C5202080;C5202081		Oncology (cutaneous melanoma), mRNA gene expression profiling by RT-PCR of 23 genes (14 content and 9 housekeeping), utilizing formalin-fixed paraffin-embedded (FFPE) tissue, algorithm reported as a categorical result (ie, benign, intermediate, malignant)
0092U	SourceAtomCluster	0092U	False	False	CPT	5	0					NONE	NONE		NONE	C5202086;C5202088;C5202087		Oncology (lung), three protein biomarkers, immunoassay using magnetic nanosensor technology, plasma, algorithm reported as risk score for likelihood of malignancy
0093U	SourceAtomCluster	0093U	False	False	CPT	5	0					NONE	NONE		NONE	C5202089;C5202090;C5414436		Prescription drug monitoring, evaluation of 65 common drugs by LC-MS/MS, urine, each drug reported detected or not detected
0094U	SourceAtomCluster	0094U	False	False	CPT	7	0					NONE	NONE		NONE	C5202092;C5202095;C5202093;C5202094		Genome (eg, unexplained constitutional or heritable disorder or syndrome), rapid sequence analysis
0095U	SourceAtomCluster	0095U	False	False	CPT	5	0					NONE	NONE		NONE	C5202096;C5202097		Eosinophilic esophagitis (Eotaxin-3 [CCL26 {C-C motif chemokine ligand 26}] and major basic protein [PRG2 {proteoglycan 2, pro eosinophil major basic protein}]), enzyme-linked immunosorbent assays (ELISA), specimen obtained by esophageal string test device, algorithm reported as probability of active or inactive eosinophilic esophagitis
0096U	SourceAtomCluster	0096U	False	False	CPT	5	0					NONE	NONE		NONE	C5202099;C5202100;C5202101		Human papillomavirus (HPV), high-risk types (ie, 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68), male urine
0101U	SourceAtomCluster	0101U	False	False	CPT	5	0					NONE	NONE		NONE	C5202114;C5202115;C5414441		Hereditary colon cancer disorders (eg, Lynch syndrome, PTEN hamartoma syndrome, Cowden syndrome, familial adenomatosis polyposis), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with mRNA analytics to resolve variants of unknown significance when indicated (15 genes [sequencing and deletion/duplication], EPCAM and GREM1 [deletion/duplication only])
0102U	SourceAtomCluster	0102U	False	False	CPT	5	0					NONE	NONE		NONE	C5202117;C5202118;C5414442		Hereditary breast cancer-related disorders (eg, hereditary breast cancer, hereditary ovarian cancer, hereditary endometrial cancer), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with mRNA analytics to resolve variants of unknown significance when indicated (17 genes [sequencing and deletion/duplication])
0103U	SourceAtomCluster	0103U	False	False	CPT	5	0					NONE	NONE		NONE	C5202121;C5202120;C5414443		Hereditary ovarian cancer (eg, hereditary ovarian cancer, hereditary endometrial cancer), genomic sequence analysis panel utilizing a combination of NGS, Sanger, MLPA, and array CGH, with mRNA analytics to resolve variants of unknown significance when indicated (24 genes [sequencing and deletion/duplication], EPCAM [deletion/duplication only])
0105U	SourceAtomCluster	0105U	False	False	CPT	8	0					NONE	NONE		NONE	C5414447;C5414444;C5202123;C5202124;C5414446;C5414445		Nephrology (chronic kidney disease), multiplex electrochemiluminescent immunoassay (ECLIA) of tumor necrosis factor receptor 1A, receptor superfamily 2 (TNFR1, TNFR2), and kidney injury molecule-1 (KIM-1) combined with longitudinal clinical data, including APOL1 genotype if available, and plasma (isolated fresh or frozen), algorithm reported as probability score for rapid kidney function decline (RKFD)
0106U	SourceAtomCluster	0106U	False	False	CPT	5	0					NONE	NONE		NONE	C5202129;C5702108;C5414448		Gastric emptying, serial collection of 7 timed breath specimens, non-radioisotope carbon-13 (13C) spirulina substrate, analysis of each specimen by gas isotope ratio mass spectrometry, reported as rate of 13CO2 excretion
0107U	SourceAtomCluster	0107U	False	False	CPT	5	0					NONE	NONE		NONE	C5414449;C5202132;C5202133		Clostridium difficile toxin(s) antigen detection by immunoassay technique, stool, qualitative, multiple-step method
0108U	SourceAtomCluster	0108U	False	False	CPT	5	0					NONE	NONE		NONE	C5414450;C5202135;C5202136		Gastroenterology (Barrett's esophagus), whole slide-digital imaging, including morphometric analysis, computer-assisted quantitative immunolabeling of 9 protein biomarkers (p16, AMACR, p53, CD68, COX-2, CD45RO, HIF1a, HER-2, K20) and morphology, formalin-fixed paraffin-embedded tissue, algorithm reported as risk of progression to high-grade dysplasia or cancer
